nescio, -ire, -ivi, -itum	(v.) to not know (how); be ignorant, unfamiliar, unaware, unable
porta, -ae (f.)	(n.) gate, entrance; city gates; door; avenue
caterva, -ae (f.)	(n.) crowd, troop, throng, band, mob
latus, -eris (n.)	(n.) side, flank
tempus, -oris (n.)	(n.) portion of time, time, period, season, interval
vexo, -are, -avi, -atum	(v.) to shake, jolt, toss violently; to annoy, trouble, disturb, vex
imperium, -i (n.)	(n.) command, order; supreme power, sway, dominion, empire
scientia, -ae (f.)	(n.) knowledge, science; skill
hic, haec, hoc	(pron./adj.) this
superbus, -a, -um	(adj.) haughty, proud, vain, arrogant, insolent, domineering
inde	(adv.) from that place, from there, thence
tango, -ere, tetigi, tactum	(v.) to touch, strike; border on; influence; mention
nosco, -ere, novi, notum	(v.) to get knowledge of, become acquainted with, come to know, learn, discern
mane	(adv.) in the morning; early in the morning
manus, -us (f.)	(n.) hand; band (of soldiers)
amitto, -ere, -isi, -issum	(v.) to send away, dismiss, part with, let go, lose
interficio, -ere, -feci, -fectum	(v.) to kill, destroy
vestis, -is (f.)	(n.) clothes, clothing, attire
fama, -ae (f.)	(n.) report, rumor, saying, talk, tradition, reputation
caput, -itis (n.)	(n.) head
membrum, -i (n.)	(n.) of the body, a limb, member
vinco, -ere, vici, victum	(v.) to conquer, defeat, be victorious, win, succeed
ara, -ae (f.)	(n.) structure for sacrifice, altar
sinister, -tra, -trum	(adj.) (on the) left, improper, adverse; inauspicious
vivus, -a, -um	(adj.) alive, fresh; living
arx, arcis (f.)	(n.) castle, citadel, fortress, stronghold
vis, vis (f.)	(n.) strength, force, vigor, power, energy, virtue
accedo (adc-), -ere, -cessi, -cessum	(v.) to go to, come to, come near, draw near, approach, enter
puella, -ae (f.)	(n.) female child, girl, maiden
liberi, -orum (m. pl.)	(n.) children
supra	(adv.) above, beyond; over; more than; in charge of, in authority over
plus, pluris	(adj.) more
memoria, -ae (f.)	(n.) memory, recollection; history
detineo, -ere, -ui, -tentum	(v.) to hold off, keep back, detain, check
impetus, -us (m.)	(n.) attack, assault, onset; violence, fury, rush, force
diligentia, -ae (f.)	(n.) diligence, care, attentiveness; frugality; efficiency
tergum, -i (n.)	(n.) back; hide, skin
disco, -ere, didici	(v.) to learn, learn to know, acquire, become acquainted with
ago, -ere, egi, actum	(v.) to put in motion, do, act, move, lead, drive
-ve	(enclitic) or, or if you will, or as you please
scelus, -eris (n.)	(n.) wicked deed, heinous act, crime, sin, wickedness
redeo, -ire, -ii, -itum	(v.) to go back, turn back, return, turn around
immineo (inm-), -ere	(v.) to project over, lean toward, hang down over, overhang, loom (over), threaten
gloria, -ae (f.)	(n.) glory, fame, renown, praise, honor
sella, -ae (f.)	(n.) seat, stool, chair; chair of an official
aut	(conj.) or (introducing an antithesis to what precedes); either...or (aut...aut)
Iuno, -onis (f.)	(proper n.) Juno, queen of the gods, daughter of Saturn, sister and wife of Jupiter, goddess of marriage
ferus, -a, -um	(adj.) wild, untamed, uncultivated
extremus, -a, -um	(adj.) outermost, utmost, extreme, farthest, last
for, fari, fatus sum	(v.) to speak, say
