caligo, -inis (f.)	(n.) thick air, mist, vapor, fog
ubi	(adv.) in which place, in what place, where; when, whenever, as soon as, as
coniunx, -iugis (m. or f.)	(n.) married person, spouse, husband, wife
compono, -ere, -posui, -positum	(v.) to bring together, place together, join, connect
memor, -oris	(adj.) mindful, remembering, heedful
defessus, -a, -um	(adj.) worn out, weary, tired; weakened
possum, posse, potui	(v.) to be able, have power, can
sub	(prep.) (with abl.) under, below, beneath, underneath, behind; (with acc.) under, below, beneath, up to, toward
magnus, -a, -um	(adj.) great, large
atrium, -i (n.)	(n.) atrium, reception hall in a Roman house
defendo, -ere, -i, defensum	(v.) to defend, guard, protect, look after; repel, ward off, prevent; support, preserve
custodio, -ire, -ivi, -itum	(v.) to guard, watch over, keep safe; to take heed, care, observe
cubiculum, -i (n.)	(n.) bedroom, room
quamvis	(adv./conj.) as you will, as much as you will, however much, as much as possible, very much, extremely
incipio, -ere, -cepi, -ceptum	(v.) to take hold, take in hand, begin
Italia, -ae (f.)	(proper n.) Italy
pictura, -ae (f.)	(n.) painting; picture
amnis, -is (m.)	(n.) river
mox	(adv.) soon, directly, presently, then
parum	(adv.) too little, not enough, insufficiently
pumex, -icis (f.)	(n.) pumice stone
machina, -ae (f.)	(n.) machine, engine
facio, -ere, feci, factum	(v.) to make, build, produce, compose; do, perform, make
noster, -stra, -strum	(adj.) our, our own, ours, of us
servo, -are, -avi, -atum	(v.) to make safe, save, preserve, guard, keep, protect, rescue
narro, -are, -avi, -atum	(v.) to make known, tell, relate, narrate, report, recount, set forth
os, oris (n.)	(n.) mouth; (in general) face
otium, -i (n.)	(n.) leisure; spare time; holiday; ease, rest, peace, quiet, calm
dux, ducis (m.)	(n.) leader, conductor, guide
doleo, -ere, -ui, -itum	(v.) to hurt, feel pain; grieve; be pained, sorry; cause pain (to)
summus, -a, -um	(adj.) uppermost, highest, topmost; chief, main
aureus, -a, -um	(adj.) of gold, golden; gilded; gleaming like gold; splendid
potestas, -atis (f.)	(n.) power, rule, force; strength, ability
propero, -are, -avi, -atum	(v.) to make haste, hasten, be quick, be in haste, go quickly
spiro, -are, -avi, -atum	(v.) to breathe; blow, breathe out, exhale; live
ne	(adv./conj.) no, not, (+ quidem) not even, that not, lest, so that not
Appia, -ae (f.)	(proper n.) a Roman female name (nomen – name of a Roman gens)
—, sui, sibi, se, se	(pron.) himself, herself, itself, themselves
taceo, -ere, -cui, -citum	(v.) to be silent, not speak, say nothing
premo, -ere, -essi, -essum	(v.) to press, repress, oppress, restrain
antiquus, -a, -um	(adj.) ancient, former, old, of old times
durus, -a, -um	(adj.) hard (to the touch); harsh, rough, stern, unyielding, unfeeling
portus, -us (m.)	(n.) port, harbor; refuge, haven
corripio, -ere, -ripui, -reptum	(v.) to seize, snatch up, grasp, collect, take hold of, arrest
quidem	(adv.) assuredly, certainly, in fact, indeed
sapientia, -ae (f.)	(n.) wisdom; judgment, understanding; reason, intelligence
moneo, -ere, -ui, -itum	(v.) to remind, advise, warn; teach; admonish; foretell
dominus, -i (m.)	(n.) master, possessor, ruler, lord, owner; a male slave-owner
maritus, -i (m.)	(n.) married man, husband
punio, -ire, -ivi, -itum	(v.) to punish, inflict punishment; avenge, extract retribution
