navis, -is (f.)	(n.) ship
aequus, -a, -um	(adj.) level, even, equal, like; just, kind, impartial, fair; patient
regina, -ae (f.)	(n.) queen
unus, -a, -um	(adj.) one, single; alone, only, sole; a, an
castrum, -i (n.)	(n.) fortified place, fort, fortress
verus, -a, -um	(adj.) true, real, actual, genuine
amicitia, -ae (f.)	(n.) friendship; alliance, association; friendly relations
ut or uti	(adv./conj.) how, in what way; as, like; when; that, so that
superus, -a, -um	(adj.) that is above, upper, higher; (pl.) the gods
minus	(adv.) less
ullus, -a, -um	(adj.) any, any one
requiro, -ere, -quisivi (or -quisii), -quisitum	(v.) to seek again, look after, search for, ask
aliquis, aliquid	(pron./adj.) someone, anyone, anybody, one or another; neut., something, anything
quantus, -a, -um	(adj.) of what size, how much, how great; as (correl. with tantus)
multus, -a, -um	(adj.) much, great, many
divus, -i (m.)	(n.) god, a deity
lex, legis (f.)	(n.) law, bill, regulation, principle, rule
clamo, -are, -avi, -atum	(v.) to call, cry out, shout aloud; complain loudly
licet, -ere, licuit and licitum est	(v.) it is lawful, is allowed, is permitted; even if, although, notwithstanding
sedeo, -ere, sedi, sessum	(v.) to sit, remain, settle
intellego, -ere, -exi, -ectum	(v.) to understand; realize
laus, laudis (f.)	(n.) praise, commendation, glory, fame, renown, esteem
mille (pl. milia or millia) or M (n.)	(n.) a thousand, ten hundred
interdum	(adv.) sometimes, occasionally, now and then, meanwhile
reliquus, -a, -um	(adj.) rest of, remaining, available, left, surviving; future, further
nego, -are, -avi, -atum	(v.) to say no, deny, refuse
is, ea, id	(pron./adj.) he, she, it; this, that, the
modus, -i (m.)	(n.) measure, extent, quantity; manner, way, mode
excipio, -ere, -cepi, -ceptum	(v.) to take out, withdraw; except, make an exception, stipulate, reserve
conubium, -i (n.)	(n.) marriage
diu	(adv.) a long time, long while, long, for a long time
aliqui (aliquis), aliqua, aliquod	(adj.) some, any
patior, -i, passus sum	(v.) to bear, support, undergo, suffer, endure, allow
voluptas, -atis (f.)	(n.) satisfaction, enjoyment, pleasure, delight
faveo, -ere, favi, fautum	(v.) (with dat.) to favor, befriend, support
uterque, utraque, utrumque	(pron./adj.) each, either, each one, one and the other, one as well as the other, both (of two regarded severally)
nondum	(adv.) not yet
caedes, -is (f.)	(n.) cutting-down, killing, slaughter, carnage, massacre
pauper, -eris	(adj.) poor, meager, unproductive; cheap, of little worth
plenus, -a, -um	(adj.) full, filled
habeo, -ere, -ui, -itum	(v.) to have, hold, support, carry, wear
ambulo, -are, -avi, -atum	(v.) to walk, take a walk; travel, march
bibo, -ere, bibi	(v.) to drink
effundo, -ere, -fudi, -fusum	(v.) to pour out, pour forth, shed, spread abroad
illic	(adv.) in that place, yonder, there
iter, itineris (n.)	(n.) a going, walk, way, journey, passage, march, voyage
acies, -ei (f.)	(n.) sharp edge, point; front of an army, battle line; army
miles, -itis (m.)	(n.) soldier
salus, -utis (f.)	(n.) soundness, health, good health, vigor, safety
angustus, -a, -um	(adj.) narrow, steep, close, confined; scanty, poor; narrowminded, petty
