aurum, -i (n.)	(n.) gold
non	(adv.) not, by no means, not at all
moenia, -ium (n. pl.)	(n.) defensive walls, ramparts, bulwarks, city walls
vivo, -ere, vixi, victum	(v.) to live, be alive, have life
nonne	(adv.) ...right?, ...correct?, ...yes? [indicates a question that expects a “yes” answer]
fugio, -ere, fugi, fugitum	(v.) to flee, fly, take flight, run away, make off
ferrum, -i (n.)	(n.) iron
mundus, -i (m.)	(n.) universe, world, heavens, earth
corpus, -oris (n.)	(n.) body (living or lifeless)
exigo, -ere, -egi, -actum	(v.) to drive out, push forth, thrust out, take out, expel; spend (time); demand; inquire; complete, spend
pulso, -are, -avi, -atum	(v.) to beat, strike, hit
signum, -i (n.)	(n.) mark, token, sign, indication, proof; military standard, banner
transeo, -ire, -ii, -itum	(v.) to go over, go across, cross over, pass over, pass by, pass
numen, -inis (n.)	(n.) nod; command, authority, divine will; divinity, deity
Laocoön, -ontis (m.)	(proper n.) Laocoön, a Trojan prince and priest of Apollo, serving as the priest of Neptune in the last days of Troy
etiam	(conj.) now too, yet, as yet, even yet, still, even now
sacrificium, -i (n.)	(n.) sacrifice, offering to a deity
tellus, -uris (f.)	(n.) the earth, earth, land, globe
paulum, paulo	(adv.) to only a small extent, slightly, a little
interea	(adv.) meanwhile, in the meantime
Misenum, -i (n.)	(proper n.) Misenum, a town and harbor in Campania
aspicio (ads-), -ere, -exi, -ectum	(v.) to look at, look upon, behold, look
patronus, -i (m.)	(n.) patron; advocate; defender, protector
pater, -tris (m.)	(n.) father
patrona, -ae (f.)	(n.) protectress, patroness, female patron
familia, -ae (f.)	(n.) household
iuvenis, -is (m. or f.)	(n.) young person, youth
interim	(adv.) meanwhile, in the meantime
ultimus, -a, -um	(adj.) farthest, most distant, most remote, uttermost, extreme, last
mereo, -ere, -ui, -itum	(v.) to deserve, merit, be entitled to, be worthy of; earn
gero, -ere, gessi, gestum	(v.) to bear about, bear, carry, wear, have, hold, sustain
traho, -ere, traxi, tractum	(v.) to draw, drag, haul, draw off, pull forth, drag away
paucus, -a, -um	(adj.) few, little
numerus, -i (m.)	(n.) number
rapio, -ere, -pui, -ptum	(v.) to seize and carry off, snatch, tear, drag, hurry away
toga, -ae (f.)	(n.) toga
honor (honos), -oris (m.)	(n.) honor, repute, esteem, reputation, praise, distinction
Helvia, -ae (f.)	(proper n.) a Roman female name (nomen – name of a Roman gens)
laudo, -are, -avi, -atum	(v.) to praise, commend, honor, approve
certamen, certaminis (n.)	(n.) contest, competition; battle, combat, struggle; rivalry, dispute
reddo, -ere, -didi, -ditum	(v.) to give back, return, restore; give up, hand over, deliver
tot	(pron.) so many, such a number of, as many...as (tot...quot)
via, -ae (f.)	(n.) way, highway, road, path, street
numero, -are, -avi, -atum	(v.) to count, reckon, number
lacrimo, -are, -avi, -atum	(v.) to cry, shed tears
mater, -tris (f.)	(n.) mother
Musonius, -i (m.)	(proper n.) a Roman male name (nomen – name of a Roman gens)
humanus, -a, -um	(adj.) of man, human
quot	(adj.) how many, as many as, as many...as (tot...quot)
aqua, -ae (f.)	(n.) water
