sol, solis (m.)	(n.) sun
Teucri, -orum (m. pl.)	(proper n.) the Teucrians, Trojans
sedes, -is (f.)	(n.) seat, bench, chair, throne; place, spot; (pl.) dwelling-place, palace
plaudo, -ere, plausi, plausum	(v.) to clap, strike; beat (wings); applaud; express (dis)approval
mare, -is (n.)	(n.) sea
mensis, -is (m.)	(n.) month
orbis, -is (m.)	(n.) ring, circle, circular path, hoop, orbit
limen, -inis (n.)	(n.) threshold, sill
sapiens, -entis	(adj.) wise, knowing, sensible
volvo, -ere, volvi, volutum	(v.) to cause to revolve, roll, turn about, turn round
libertas, -atis (f.)	(n.) freedom, liberty, absence of restraint, permission
benignus, -a, -um	(adj.) kind, favorable; kindly, mild, affable
finis, -is (m. or f.)	(n.) that which divides, boundary, limit, border, end
impello (inp-), -ere, -puli, -pulsum	(v.) to strike against, push, drive, strike; set in motion, drive forward, move, urge on
colo, -ere, colui, cultum	(v.) to till, tend, care for, cultivate
felix, -icis	(adj.) fruitful, productive; bringing good-luck, favorable, fortunate, prosperous; lucky, happy, fortunate
pes, pedis (m.)	(n.) foot
refero, referre, rettuli, relatum	(v.) to bear back, bring back, drive back, carry back; reply
senatus, -us (m.)	(n.) council of elders, council of state, Senate
cotidie	(adv.) daily, every day; day by day; usually, ordinarily, commonly
pectus, -oris (n.)	(n.) breast, chest
volo, -are, -avi, -atum	(v.) to fly
timor, -oris (m.)	(n.) fear, dread, apprehension, alarm, anxiety
intra	(prep.) (with acc.) (of space) within, inside, on the inside; (of time) during; fewer than
sive or seu	(conj.) or if
vel	(conj.) or; either...or (vel...vel)
annus, -i (m.)	(n.) year
odium, -i (n.)	(n.) hate, dislike, unpopularity
ianua, -ae (f.)	(n.) door, entrance
Latium, -i (n.)	(proper n.) Latium, the region of Italy in which Rome was situated
implico (inp-), -are, -avi, -atum (or -ui, -itum)	(v.) to enfold, involve, entangle, envelop, encircle, embrace, clasp, grasp
quiesco, -ere, quievi, quietum	(v.) to rest, repose, keep quiet, be inactive, be at peace
debeo, -ere, -ui, -itum	(v.) to owe, be in debt; ought, must, should
flos, -oris (m.)	(n.) flower, blossom; youthful prime
cedo, -ere, cessi, cessum	(v.) to go from, give place, withdraw, go away, depart, yield, move
sterno, -ere, stravi, stratum	(v.) to spread out, stretch out, scatter; cover; overthrow, lay low, kill
ego, mei, mihi, me, me	(pron.) I, me
beatus, -a, -um	(adj.) happy, prosperous, blessed, fortunate
tu, tui, tibi, te, te	(pron.) you (singular)
impono (inp-), -ere, -posui, -positum	(v.) to place upon, set on, impose, establish, introduce, set, place
figura, -ae (f.)	(n.) form, shape, figure
novus, -a, -um	(adj.) new, not old, young, fresh, recent
sono, -are, -ui, -itum	(v.) to make a noise, sound, resound
frustra	(adv.) in vain; for nothing, to no purpose
pariter	(adv.) equally, in an equal degree, in like manner, as well, as much, alike
princeps, -cipis (m.)	(n.) first man, first person; chief, leader, ruler, emperor
fatalis, -e	(adj.) of fate, ordained by destiny, decreed, destined, fated, fatal
arena (harena), -ae (f.)	(n.) sand, grains of sand; sandy land or desert; seashore; arena
labor, -oris (m.)	(n.) labor, toil, exertion
filius, -i (m.)	(n.) son
