lectus, -i (m.)	(n.) couch, bed
soleo, -ere, -ui, -itum	(v.) to be used, be wont, be accustomed
poena, -ae (f.)	(n.) compensation, retribution, punishment, penalty, price
discipulus, -i (m.)	(n.) student, follower
salio, -ire, salui, saltum	(v.) to leap, jump; move suddenly
auris, -is (f.)	(n.) ear
mens, mentis (f.)	(n.) mind, disposition, feeling, character, heart, soul
intro, -are, -avi, -atum	(v.) to go into, enter
invenio, -ire, -veni, -ventum	(v.) to come upon, find, meet with, light upon
saevus, -a, -um	(adj.) raging, mad, furious, fierce, savage, ferocious, cruel, violent, severe
sic	(adv.) so, thus, in this manner, in such a manner, in the same way or manner, in like manner, likewise
terra, -ae (f.)	(n.) the earth, earth, land
terribilis, -e	(adj.) frightful, terrible
altus, -a, -um	(adj.) high, lofty, elevated, great; deep, profound
ingens, -entis	(adj.) not natural, vast, huge, enormous, great, remarkable
longe	(adv.) a long way off, far, far off, at a distance
aio (defective verb, ais, ait, aiunt)	(v.) to assert, affirm, say, tell, relate
Romanus, -a, -um	(adj.) of Rome, Roman
gravis, -e	(adj.) heavy, weighty, ponderous, burdensome, loaded, laden, burdened
curo, -are, -avi, -atum	(v.) to care, provide for; be attentive to; take charge of; heal, cure
tremor, -oris (m.)	(n.) shaking, quaking, quivering, trembling, tremor
hortus, -i (m.)	(n.) garden; park (pl.)
agmen, -inis (n.)	(n.) multitude, troop, crowd; battle line, army
claudo, -ere, -si, -sum	(v.) to shut, close, shut up
ora, -ae (f.)	(n.) extremity, border, edge, end, boundary, limit, shore
quod	(conj.) that, in that, because, but, though
aequor, -oris (n.)	(n.) even surface, level; sea, ocean
murus, -i (m.)	(n.) wall, city wall
femina, -ae (f.)	(n.) female, woman
audeo, -ere, ausus sum	(v.) to venture, dare, be bold, dare to do, risk
oro, -are, -avi, -atum	(v.) to speak, argue, plead, pray, beg, implore, ask for
torqueo, -ere, torsi, tortum	(v.) to turn, turn about, turn away, twist, bend, wind
paene	(adv.) nearly, almost; mostly
geminus, -a, -um	(adj.) born together, twin-born, twin; paired, double, twofold, both, two
spectaculum, -i (n.)	(n.) show, spectacle; (pl.) spectators’ seats
quisquam, quaequam, quicquam (or quidquam)	(pron./adj.) any, anyone
crimen, -inis (n.)	(n.) judgment, charge, crime, accusation, reproach
tempto (tento), -are, -avi, -atum	(v.) to handle, touch, feel; try, prove, test, attempt
theatrum, -i (n.)	(n.) theater
Pallas, -antis (m.)	(proper n.) Pallas, son of Evander
homo, -inis (m.)	(n.) human being, man, person
dissimilis, -e	(adj.) unlike, different, dissimilar
unda, -ae (f.)	(n.) wave, billow
video, -ere, vidi, visum	(v.) to see, discern, perceive; (in passive) to seem
virgo, -inis (f.)	(n.) maid, maiden, virgin, young woman, girl
densus, -a, -um	(adj.) thick, close, compact, dense, crowded
duco, -ere, -xi, -ctum	(v.) to lead, conduct, guide, direct, draw, bring, fetch, escort
gladiator, -oris (m.)	(n.) gladiator
addo, -ere, -didi, -ditum	(v.) to put to, place upon, lay on, join, attach
casus, -us (m.)	(n.) falling, falling down, fall; misfortune, mishap, calamity
